idfrom;fromname;idto;toname;weight;=
260001;Recife;2607901;Jaboatão dos Guararapes;47;1
260002;Goiana – Timbaúba;2600708;Aliança;32;1
260003;Palmares;2610004;Palmares;18;1
260004;Limoeiro;2608107;João Alfredo;14;1
260005;Vitória de Santo Antão;2616407;Vitória de Santo Antão;6;1
260006;Carpina;2604007;Carpina;16;1
260007;Barreiros - Sirinhaém;2611903;Rio Formoso;18;1
260008;Surubim;2612703;Santa Maria do Cambucá;9;1
260009;Caruaru;2604106;Caruaru;40;1
260010;Garanhuns;2602407;Brejão;33;1
260011;Arcoverde;2615805;Tupanatinga;27;1
260012;Belo Jardim – Pesqueira;2612406;Sanharó;19;1
260013;Serra Talhada;2605707;Floresta;31;1
260014;Afogados da Ingazeira;2607109;Ingazeira;29;1
260015;Petrolina;2608750;Lagoa Grande;16;1
260016;Araripina;2609907;Ouricuri;40;1
260017;Salgueiro;2615201;Terra Nova;24;1
260018;Escada - Ribeirão;2611408;Primavera;11;1
