rgi,nome_rgi,xCentroide,yCentroide
260001,Recife,-35044,-8089
260006,Carpina,-35268,-7789
260011,Arcoverde,-37391,-8546
260014,Afogados da Ingazeira,-37.44,-7646
260015,Petrolina,-40384,-8764
260009,Caruaru,-36024,-8245
260003,Palmares,-35617,-8706
260007,Barreiros - Sirinhaém,-35212,-8696
260018,Escada - Ribeirão,-35374,-8406
260010,Garanhuns,-36587,-8981
260012,Belo Jardim – Pesqueira,-36562,-8389
260002,Goiana – Timbaúba,-35187,-7571
260005,Vitória de Santo Antão,-35326,-8113
260016,Araripina,-40158,-7811
260013,Serra Talhada,-38331,-8344
260017,Salgueiro,-39308,-8228
260004,Limoeiro,-35531,-7871
260008,Surubim,-35845,-7869
2600708,Aliança,-35193,-7603
2602407,Brejão,-36.53,-9027
2604007,Carpina,-35306,-7819
2604106,Caruaru,-36017,-8181
2605707,Floresta,-38306,-8567
2607109,Ingazeira,-37416,-7714
2607901,Jaboatão dos Guararapes,-35003,-8152
2608107,João Alfredo,-35592,-7861
2608750,Lagoa Grande,-40223,-8777
2609907,Ouricuri,-40164,-7966
2610004,Palmares,-35.63,-8657
2611408,Primavera,-35391,-8327
2611903,Rio Formoso,-35218,-8675
2612406,Sanharó,-36.55,-8365
2612703,Santa Maria do Cambucá,-35883,-7825
2615201,Terra Nova,-3.9397,-8158
2615805,Tupanatinga,-37.28,-8684
2616407,Vitória de Santo Antão,-35288,-8.15
