ID,nome,xCentroide,yCentroide
260001,Recife,"-35,044","-8,089"
260006,Carpina,"-35,268","-7,789"
260011,Arcoverde,"-37,391","-8,546"
260014,Afogados da Ingazeira,"-37,44","-7,646"
260015,Petrolina,"-40,384","-8,764"
260009,Caruaru,"-36,024","-8,245"
260003,Palmares,"-35,617","-8,706"
260007,Barreiros - Sirinhaém,"-35,212","-8,696"
260018,Escada - Ribeirão,"-35,374","-8,406"
260010,Garanhuns,"-36,587","-8,981"
260012,Belo Jardim – Pesqueira,"-36,562","-8,389"
260002,Goiana – Timbaúba,"-35,187","-7,571"
260005,Vitória de Santo Antão,"-35,326","-8,113"
260016,Araripina,"-40,158","-7,811"
260013,Serra Talhada,"-38,331","-8,344"
260017,Salgueiro,"-39,308","-8,228"
260004,Limoeiro,"-35,531","-7,871"
260008,Surubim,"-35,845","-7,869"
2600708,Aliança,"-35,193","-7,603"
2602407,Brejão,"-36,53","-9,027"
2604007,Carpina,"-35,306","-7,819"
2604106,Caruaru,"-36,017","-8,181"
2605707,Floresta,"-38,306","-8,567"
2607109,Ingazeira,"-37,416","-7,714"
2607901,Jaboatão dos Guararapes,"-35,003","-8,152"
2608107,João Alfredo,"-35,592","-7,861"
2608750,Lagoa Grande,"-40,223","-8,777"
2609907,Ouricuri,"-40,164","-7,966"
2610004,Palmares,"-35,63","-8,657"
2611408,Primavera,"-35,391","-8,327"
2611903,Rio Formoso,"-35,218","-8,675"
2612406,Sanharó,"-36,55","-8,365"
2612703,Santa Maria do Cambucá,"-35,883","-7,825"
2615201,Terra Nova,"-39,397","-8,158"
2615805,Tupanatinga,"-37,28","-8,684"
2616407,Vitória de Santo Antão,"-35,288","-8,15"
